transaction_id,user_id,product_id,timestamp,transaction_amount
790772b4-2266-459b-a1b4-419b3fae96ce,689,252,2025-03-20 19:22:53,311.86
44a19fce-11fe-453f-8068-2ae3f8f9d001,779,204,2025-02-23 13:21:08,6.63
8a825a7c-3476-48b5-b20c-587d6ecd71c9,353,97,2025-07-15 18:31:50,268.22
73805fe9-22e3-42f1-b6d1-afaf41ea8aed,34,113,2025-08-06 04:56:43,467.24
03dd7cee-b2f0-4c93-8b85-b3cf456f2ca7,111,274,2024-12-11 13:42:52,385.67
80b29826-a5a0-46e7-b703-4a16fd2a8eed,961,56,2025-09-18 23:22:27,305.24
c339eef7-9501-4541-b74b-0ffd4dffe511,890,302,2025-06-21 07:52:49,49.46
cfac341f-322c-45df-aed8-4f70a027cfaa,225,329,2025-10-08 10:09:46,395.67
4fae9e6a-0d9c-459b-a6e8-bb692d76a21f,368,424,2025-08-30 17:23:36,63.74
cfabe7a3-4e3b-4c73-a52c-f666a884da37,277,78,2025-10-01 17:58:10,202.91
8d7332ba-2e34-4f38-9b6b-6285a879f8be,950,91,2025-07-04 17:01:55,30.33
25d833c4-e314-49a5-8374-cfe62aae8354,411,293,2025-08-09 17:31:33,76.45
6834431a-86dd-446b-be9c-5d6d97d3d762,427,303,2024-12-18 12:31:45,234.13
ab39fa03-c8e7-424f-a107-cc400206a466,76,127,2024-10-28 22:31:50,110.51
6cba5932-b000-4284-83af-2c56cdb857b1,711,240,2025-07-14 04:51:17,7.63
0c5911fb-85bb-48a9-854c-5246be344143,61,185,2025-06-28 11:54:18,148.29
891ad789-2cc1-42b3-8e80-676ac9070450,62,390,2025-09-14 11:31:33,259.43
831514b2-a868-454f-870d-bbd3ef420f2f,288,118,2025-10-01 14:43:40,182.06
7d53805a-8237-4cb4-83d6-20cddc613810,711,452,2025-06-19 05:13:03,432.26
ed1fa1f1-b57f-49f6-8963-129f38b72202,939,500,2025-03-15 18:24:50,360.09
3f9e0253-8689-4fbc-aac6-701d918f38e9,102,413,2025-04-26 09:46:37,406.44
ca987fbb-c908-49d5-b95b-372fbc9a0dbe,29,121,2025-06-05 00:22:16,45.3
eaa1c524-3a97-4ee1-a548-857afbdf9291,345,98,2025-08-30 04:35:07,432.06
d6317c0c-af25-4a3a-bbc8-f136b8206a19,351,1,2025-05-16 23:35:35,154.56
7bdb6649-09a1-4f5b-b771-d180202627c9,229,33,2025-09-21 04:49:23,283.44
557393f2-8edb-460a-9028-41ddca5a6ea3,963,223,2025-02-24 09:54:17,331.22
927a060f-a6df-4f52-b7e3-d282c69b0207,545,91,2025-09-23 14:43:38,195.39
0d1ad2ca-d744-4d7f-821b-ec0d74667252,516,69,2025-05-05 21:35:24,34.06
6c4a8dbe-8836-4d31-ad0c-30a15ee7c38c,350,258,2024-12-20 23:44:32,117.49
28488959-f2de-4596-99a9-d76eb4d699a6,892,84,2025-01-18 06:43:35,20.41
a6356a0f-40d5-4997-90ee-bec0a8bb429c,281,46,2025-05-18 06:06:35,458.81
c8e328a2-2192-4d2f-99c6-98ce245f3042,61,336,2024-11-02 19:26:36,203.9
57e27c07-3a66-4d3d-b05c-d4f3e67fa759,647,87,2025-04-06 04:37:23,231.69
adb4def8-6e89-4a14-91ef-d39eda240b0c,449,373,2025-07-13 09:42:46,94.67
dae8fa61-cb65-4934-a7f3-98ec6bba65cf,767,489,2025-09-09 12:46:02,15.52
93e05b1c-eac8-4853-aca1-1a7437365151,388,124,2025-04-10 20:08:45,412.58
de5696be-569c-4a48-8b2a-5c0e2fab3a28,94,260,2025-05-21 03:28:16,240.66
7a636491-76bb-4cbb-8697-ebcc8aa93aec,364,347,2025-08-14 18:17:57,72.92
e6755c66-2602-4bf5-a631-1a053d72673e,767,336,2025-10-05 14:25:50,379.27
62b483c2-6987-4ac7-8340-ea2c442d01a9,730,286,2025-03-09 03:28:42,65.63
d04bce7a-41ab-4f29-81b7-facbde0d5c8a,53,186,2024-10-20 04:23:02,100.06
d8d1d0fb-de6f-4d1a-962f-2d687211ab16,581,468,2025-02-04 07:16:22,155.42
a0a3976e-a22e-41ac-95d3-4d2050d27d84,586,165,2025-06-26 11:06:03,11.64
ab6dd3e7-47ac-4df4-bba9-1516951829af,83,166,2025-06-06 15:22:38,70.66
d0b5bcff-74d9-4cc0-afa1-6503e35ce24b,217,360,2025-09-07 16:03:20,284.27
38889ced-2367-40cb-9211-3691d131689e,532,396,2025-03-17 13:20:32,494.11
3ef2e476-96e8-4c5c-b2f6-e98b5233ecaa,238,490,2025-07-04 01:14:23,287.15
14e9332e-aa41-4cca-aa1e-9ccbba08f392,582,152,2025-10-13 08:56:15,46.9
7175e5b1-f5c7-44de-8787-277894377201,660,258,2024-10-18 05:17:29,426.88
67e513b6-c319-4def-92a3-26d866c1bc8d,273,496,2024-11-11 11:18:46,360.57
1b882a2f-a229-4712-82d2-42e0083374ce,882,105,2025-01-14 17:37:41,180.78
